"id,""note"",""commentaire"""
"32,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129]"""
"33,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052"""
"34,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871"""
"35,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199"""
"36,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382"""
"37,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315"""
"38,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427"""
"39,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193"""
"40,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685"""
"41,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846"""
"42,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176"""
"43,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341"""
"44,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180"""
"45,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875"""
"46,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836"""
"47,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554"""
"48,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266"""
"49,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666"""
"50,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534"""
"51,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671"""
"52,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754"""
"53,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759"""
"54,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532"""
"55,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385"""
"56,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329"""
"57,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489"""
"58,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461"""
"59,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839"""
"60,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813"""
"61,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546"""
"62,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291"""
"63,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817"""
"64,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213"""
"65,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible."""
"66,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous."""
"67,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule."""
"68,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information."""
"69,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide."""
"70,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente."""
"71,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe."""
"72,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel."""
"73,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant."""
"74,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel."""
"75,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable."""
"76,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa."""
"77,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide."""
"78,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital."""
"79,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité."""
"80,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée."""
"81,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689]"""
"82,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755]"""
"83,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709]"""
"84,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281]"""
"85,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279]"""
"86,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551]"""
"87,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920]"""
"88,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949]"""
"89,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983]"""
"90,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068]"""
"91,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392]"""
"92,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755]"""
"93,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599]"""
"94,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732]"""
"95,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865]"""
"96,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129]"""
"97,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052"""
"98,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871"""
"99,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199"""
"100,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382"""
"101,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315"""
"102,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427"""
"103,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193"""
"104,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685"""
"105,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846"""
"106,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176"""
"107,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341"""
"108,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180"""
"109,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875"""
"110,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836"""
"111,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554"""
"112,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266"""
"113,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666"""
"114,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534"""
"115,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671"""
"116,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754"""
"117,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759"""
"118,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532"""
"119,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385"""
"120,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329"""
"121,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489"""
"122,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461"""
"123,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839"""
"124,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813"""
"125,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546"""
"126,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291"""
"127,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817"""
"128,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213"""
"129,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #5886]"""
"130,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #345]"""
"131,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #4066]"""
"132,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #9296]"""
"133,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #4282]"""
"134,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3521]"""
"135,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #4761]"""
"136,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #3242]"""
"137,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #1930]"""
"138,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #9922]"""
"139,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #3822]"""
"140,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #9342]"""
"141,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #5245]"""
"142,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #8200]"""
"143,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #5268]"""
"144,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #1737]"""
"145,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] [Suivi dossier #2882]"""
"146,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] [Suivi dossier #9199]"""
"147,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] [Suivi dossier #7348]"""
"148,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] [Suivi dossier #9146]"""
"149,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] [Suivi dossier #3686]"""
"150,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] [Suivi dossier #991]"""
"151,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] [Suivi dossier #3900]"""
"152,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] [Suivi dossier #6526]"""
"153,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] [Suivi dossier #932]"""
"154,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] [Suivi dossier #5082]"""
"155,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] [Suivi dossier #2614]"""
"156,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] [Suivi dossier #7824]"""
"157,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] [Suivi dossier #1279]"""
"158,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] [Suivi dossier #2922]"""
"159,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] [Suivi dossier #774]"""
"160,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] [Suivi dossier #5106]"""
"161,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 [Suivi dossier #3207]"""
"162,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 [Suivi dossier #716]"""
"163,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 [Suivi dossier #3961]"""
"164,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 [Suivi dossier #7659]"""
"165,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 [Suivi dossier #6410]"""
"166,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 [Suivi dossier #9074]"""
"167,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 [Suivi dossier #6139]"""
"168,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 [Suivi dossier #3474]"""
"169,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 [Suivi dossier #8953]"""
"170,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 [Suivi dossier #4345]"""
"171,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 [Suivi dossier #4865]"""
"172,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 [Suivi dossier #1293]"""
"173,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 [Suivi dossier #1870]"""
"174,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 [Suivi dossier #5472]"""
"175,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 [Suivi dossier #1749]"""
"176,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 [Suivi dossier #2329]"""
"177,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 [Suivi dossier #6400]"""
"178,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 [Suivi dossier #5015]"""
"179,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 [Suivi dossier #5873]"""
"180,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 [Suivi dossier #4322]"""
"181,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759 [Suivi dossier #3993]"""
"182,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532 [Suivi dossier #6997]"""
"183,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385 [Suivi dossier #3009]"""
"184,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329 [Suivi dossier #4052]"""
"185,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489 [Suivi dossier #1236]"""
"186,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461 [Suivi dossier #4022]"""
"187,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839 [Suivi dossier #6403]"""
"188,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813 [Suivi dossier #9951]"""
"189,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546 [Suivi dossier #548]"""
"190,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291 [Suivi dossier #2884]"""
"191,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817 [Suivi dossier #2778]"""
"192,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213 [Suivi dossier #5238]"""
"193,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #7855]"""
"194,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #3562]"""
"195,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #4244]"""
"196,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #536]"""
"197,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #9950]"""
"198,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #8140]"""
"199,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #853]"""
"200,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #9844]"""
"201,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #6661]"""
"202,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #3772]"""
"203,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #8880]"""
"204,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #3083]"""
"205,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #8778]"""
"206,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #4640]"""
"207,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #6868]"""
"208,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #420]"""
"209,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] [Suivi dossier #1495]"""
"210,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] [Suivi dossier #6217]"""
"211,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] [Suivi dossier #6602]"""
"212,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] [Suivi dossier #4356]"""
"213,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] [Suivi dossier #1976]"""
"214,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] [Suivi dossier #6814]"""
"215,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] [Suivi dossier #8141]"""
"216,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] [Suivi dossier #262]"""
"217,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] [Suivi dossier #6890]"""
"218,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] [Suivi dossier #3664]"""
"219,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] [Suivi dossier #7649]"""
"220,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] [Suivi dossier #7255]"""
"221,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] [Suivi dossier #3329]"""
"222,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] [Suivi dossier #4880]"""
"223,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] [Suivi dossier #4415]"""
"224,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] [Suivi dossier #7435]"""
"225,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 [Suivi dossier #3931]"""
"226,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 [Suivi dossier #7348]"""
"227,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 [Suivi dossier #4948]"""
"228,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 [Suivi dossier #2696]"""
"229,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 [Suivi dossier #8638]"""
"230,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 [Suivi dossier #5101]"""
"231,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 [Suivi dossier #9590]"""
"232,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 [Suivi dossier #2651]"""
"233,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 [Suivi dossier #4485]"""
"234,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 [Suivi dossier #4471]"""
"235,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 [Suivi dossier #8901]"""
"236,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 [Suivi dossier #1093]"""
"237,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 [Suivi dossier #8762]"""
"238,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 [Suivi dossier #531]"""
"239,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 [Suivi dossier #6369]"""
"240,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 [Suivi dossier #253]"""
"241,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 [Suivi dossier #2157]"""
"242,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 [Suivi dossier #28]"""
